,category_id,parent_id,name,link_url
889,1298,1299.0,Умные часы и браслеты,http://e96.ru/phones/devices/umnye_chasy
890,284,1108.0,Товары по уходу за компьютерной техникой,http://e96.ru/computers/notebooks/ukhod_za_komp_juternojj_tekhnikojj
891,1299,73.0,Носимые устройства,http://e96.ru/phones/devices
892,27,1248.0,Электрические чайники,http://e96.ru/kitchen_appliance/tea_and_coffee/elektricheskie_chayniki
893,757,1014.0,Чехлы для бассейнов,http://e96.ru/garden_cottage/pools/chehly_dlya_basseynov
894,991,990.0,Кубки,http://e96.ru/sporting_goods/sports_awards/kubky
895,225,1114.0,Сетевые фильтры,http://e96.ru/computers/power_protection_devices/setevye_filtry
896,512,1171.0,Лейки для биде,http://e96.ru/sanitary_engineering/faucets/lejjki_dlja_bide
897,1364,1311.0,Автомобильные фильтры,http://e96.ru/avto/auto_parts/avtomobilnye_filtry
898,477,1156.0,Переходники,http://e96.ru/audio_video/audio/perehodniki
899,319,1113.0,Корпуса,http://e96.ru/computers/accessories/korpusa
900,1389,1384.0,Керамическая плитка и керамогранит,http://e96.ru/finishes/ceramic_tiles
901,998,175.0,Лодки и моторы,http://e96.ru/tourism/boats_and_motors
902,1100,1078.0,Бензорезы,http://e96.ru/tools/chain_saws_and_shears/benzorezy
903,819,1001.0,Спиннинги,http://e96.ru/tourism/fishing/spinningi
904,147,1081.0,Электролобзики,http://e96.ru/tools/jigsaw_and_planers/elektrolobziki
905,878,876.0,Ботинки для беговых лыж,http://e96.ru/sporting_goods/skis_and_snowboards/botinki_dlya_begovyh_lyj
906,1378,1386.0,Двери межкомнатные,http://e96.ru/finishes/doors/dveri_mejkomnatnye
907,1011,1007.0,Ручной садовый инструмент,http://e96.ru/garden_cottage/hand_garden_tools
908,522,1179.0,Коврики для ванной,http://e96.ru/sanitary_engineering/bathroom_accessories/kovriki_dlja_vann
909,1178,206.0,Полотенцесушители и держатели,http://e96.ru/sanitary_engineering/towel_warmers
910,1527,1347.0,Стойки ресепшн,http://e96.ru/furniture/office/stoyki_resepshn
911,870,868.0,Коньки прогулочные,http://e96.ru/sporting_goods/ice_skating/konki_progulochnye
